"Result  :  ExportPerformanceQueryResult_ABCF CPU_20231025_112452"
"Save Time: 10/25/2023 11:24:54"

"User Name:ca_usr"

"NE Type:CloudSE2980"

"NE Names:DPS_ASBC01;DPS_ASBC03;DPS_ASBC02"

"FunctionSubset Name:Module CPU Measurement"

"Total 3,396    Records"

"Start Time","Period(min)","NE Name","Module CPU","Average Module CPU Usage (%)","Current Module CPU Usage (%)","Peak Module CPU Usage (%)"
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=102",1,1,2
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=403",1,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=434",1,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=417",1.75,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=431",1,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=1008",2,3,4
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=414",1,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=11",6.083,5,9
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=253",1,2,2
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=151",6,8,10
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=1005",2,3,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=411",1.917,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=428",1,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=408",1,2,3
10/25/2023 06:00:00,60,"DPS_ASBC03","Module number=951",0,0,0
10/25/2023 06:00:00,60,"DPS_ASBC02","Module number=460",1.5,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=427",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=423",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1017",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=440",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=457",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1003",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=426",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1020",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=443",1.917,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=952",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=460",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=901",0,1,1
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=409",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=446",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=463",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=251",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=412",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1006",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=429",1.667,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=152",22.083,24,33
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=449",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=466",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=254",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=415",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1009",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=432",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=469",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=401",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=418",1,1,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1012",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=435",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=452",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=472",1.25,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=404",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1015",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=421",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=468",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=438",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=455",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=455",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=438",1.917,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1015",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=421",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=404",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=472",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=452",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=435",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1012",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=418",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=401",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=469",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=432",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1009",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=415",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=254",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=466",1.583,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=449",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=152",20.583,21,30
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=429",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1006",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=412",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=251",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=463",1.417,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=446",1.833,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=409",1.25,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=901",0,1,1
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=460",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=952",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=443",1.917,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1020",2.083,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=426",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1003",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=457",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=440",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1017",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=423",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=406",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=454",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=437",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1014",2.583,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=420",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=102",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=403",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=471",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=451",1.75,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=154",20.583,23,30
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=434",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1011",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=417",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=468",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=431",1.75,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1008",2.917,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=414",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=11",7,5,10
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=253",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=465",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=448",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=151",6.833,7,11
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1005",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=411",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=462",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=445",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=428",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=408",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=459",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=951",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=442",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1019",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=425",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1002",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=456",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=439",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1016",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=422",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=405",1.25,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=453",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=436",1,1,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1013",2.5,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=419",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=101",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=402",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=470",1.25,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=153",21.417,22,30
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=433",1,1,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1010",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=416",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=467",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=450",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=430",1.583,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1007",2.583,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=413",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=252",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=464",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=447",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1004",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=410",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=902",0,0,1
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=461",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=953",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=444",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=406",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=458",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=441",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1018",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=424",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1001",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=407",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC01","Module number=1",6,6,11
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=454",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=437",1.833,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1014",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=420",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=102",1,2,2
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=403",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=471",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=451",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=154",23.083,24,36
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=434",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1011",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=417",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=431",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1008",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=437",1.833,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=420",1.833,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=102",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=403",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=434",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=417",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=431",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1008",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=414",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=11",6.167,7,9
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=253",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=151",6,7,9
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1005",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=411",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=428",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=408",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=951",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=425",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1002",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=439",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=422",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=405",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=436",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=419",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=101",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=402",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=153",22.167,21,32
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=433",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1010",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=416",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=430",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1007",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=414",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=252",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1004",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=410",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=902",0,0,1
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=427",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=424",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1001",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=407",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1",5,6,8
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=438",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=421",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=404",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=435",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=418",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=401",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=432",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1009",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=415",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=254",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=152",22,22,31
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=429",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1006",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=412",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=251",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=409",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=901",0,1,1
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=952",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=426",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=1003",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=440",1.5,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=423",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=406",1,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=11",7,8,9
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=253",1,1,2
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=465",1.333,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=448",1.917,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=151",6,7,11
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1005",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=411",1.083,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=462",1.25,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=445",1.833,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=428",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=408",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=459",1.333,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=951",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=442",1.583,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1019",2.167,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=425",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1002",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=456",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=439",1.917,1,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1016",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=422",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=405",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=453",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=436",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1013",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=419",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=101",1,2,2
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=402",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=470",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=153",20.333,19,32
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=433",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1010",2.25,2,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=416",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=467",1.5,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=450",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=430",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1007",2,2,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=413",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=252",1,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=464",1.167,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=447",1.833,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1004",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=410",1,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=902",0,0,1
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=461",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=953",0,0,0
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=444",1.833,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=427",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=458",1.417,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=441",1.5,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1018",2,2,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=424",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1001",2,3,4
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=407",2,3,3
10/25/2023 07:00:00,60,"DPS_ASBC02","Module number=1",6,7,9
10/25/2023 07:00:00,60,"DPS_ASBC03","Module number=413",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=471",2,2,4
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=449",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=466",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=254",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=415",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1009",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=432",1.917,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=469",1.5,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=401",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=418",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1012",2.083,2,4
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=435",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=452",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=472",1.167,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=404",2,3,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=421",2,3,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1015",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=438",1.083,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=455",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1",6,6,12
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=407",1.667,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1001",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=424",2,3,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1018",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=441",1.917,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=458",1.083,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=427",2,1,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=444",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=953",0,0,0
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=461",2,3,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=902",0,1,1
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=410",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC01","Module number=1004",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=463",1.417,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=251",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=412",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=1006",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=429",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=152",20.5,22,29
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=449",1,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=466",1.167,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=254",1,1,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=415",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=1009",2.333,2,4
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=432",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=469",2,3,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=401",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=418",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=1012",2,2,4
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=435",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=452",1.167,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=472",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=404",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=421",2,2,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=1015",2,3,4
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=438",2,3,3
10/25/2023 08:00:00,60,"DPS_ASBC02","Module number=455",2,3,3
